bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
96	NM_001282767	chr10	+	24208790	24547848	24209193	24546324	19	24208790,24219625,24380868,24432994,24438385,24473227,24495146,24501378,24513258,24520122,24521781,24524322,24527935,24531832,24533069,24536773,24542692,24544980,24545826,	24209263,24219909,24381067,24433193,24438479,24474060,24495196,24501545,24513434,24520253,24521929,24524764,24528119,24531993,24533237,24536893,24542770,24545103,24547848,	0	KIAA1217	cmpl	cmpl	0,1,0,1,2,0,2,1,0,2,1,2,0,1,0,0,0,0,0,
908	NM_001318323	chr22	-	42380407	42432403	42387031	42432357	5	42380407,42386988,42397857,42411406,42432236,	42385220,42387078,42397956,42411736,42432403,	0	NFAM1	cmpl	cmpl	-1,1,1,1,0,
804	NM_001318315	chr22	+	28742038	28757508	28742095	28751244	5	28742038,28743881,28744614,28751240,28757077,	28742331,28743978,28744709,28751288,28757508,	0	HSCB	cmpl	cmpl	0,2,0,2,-1,
804	NM_001318314	chr22	+	28742038	28757508	28742095	28751270	5	28742038,28743881,28744614,28751240,28757077,	28742331,28743978,28744704,28751288,28757508,	0	HSCB	cmpl	cmpl	0,2,0,0,-1,
9	NM_001318252	chr7	-	997005	1138247	997624	1127385	5	997005,1000469,1009949,1127256,1137314,	997804,1000551,1010143,1127386,1138247,	0	C7orf50	cmpl	cmpl	0,2,0,0,-1,
713	NM_001318251	chr22	-	16783415	16821699	16783618	16808073	4	16783415,16799770,16807738,16821606,	16784409,16800024,16808086,16821699,	0	XKR3	cmpl	cmpl	1,2,0,-1,
1394	NM_001198	chr6	+	106086335	106109936	106086553	106107486	7	106086335,106088200,106095614,106099299,106104824,106106370,106106910,	106086595,106088449,106095734,106099552,106105933,106106499,106109936,	0	PRDM1	cmpl	cmpl	0,0,0,0,1,0,0,
73	NM_004382	chr17_KI270908v1_alt	+	486430	537950	486655	536886	13	486430,509131,518584,523476,531336,532215,532538,533001,535259,535573,535835,536128,536745,	486688,509219,518704,523562,531443,532336,532692,533062,535332,535659,535971,536170,537950,	0	CRHR1	cmpl	cmpl	0,0,1,1,0,2,0,1,2,0,2,0,0,
592	NM_004382	chr17_GL000258v2_alt	-	952321	1003850	953386	1003625	13	952321,954102,954301,954613,954940,957241,957611,957973,958866,966749,971601,981066,1003592,	953527,954144,954437,954699,955013,957302,957765,958094,958973,966835,971721,981154,1003850,	0	CRHR1	cmpl	cmpl	0,0,2,0,2,1,0,2,0,1,1,0,0,
934	NM_004382	chr17	+	45784319	45835828	45784544	45834764	13	45784319,45807009,45816462,45821354,45829214,45830093,45830416,45830879,45833137,45833451,45833713,45834006,45834623,	45784577,45807097,45816582,45821440,45829321,45830214,45830570,45830940,45833210,45833537,45833849,45834048,45835828,	0	CRHR1	cmpl	cmpl	0,0,1,1,0,2,0,1,2,0,2,0,0,
830	NM_004381	chr6	-	32115263	32128246	32115738	32128207	18	32115263,32116479,32116703,32117036,32117322,32117586,32117858,32118774,32118955,32119823,32120770,32120988,32121262,32126116,32127102,32127441,32127670,32128116,	32115968,32116564,32116815,32117107,32117404,32117694,32118038,32118866,32119141,32119957,32120902,32121124,32121348,32126252,32127194,32127520,32127750,32128246,	0	ATF6B	cmpl	cmpl	1,0,2,0,2,2,2,0,0,1,1,0,1,0,1,0,1,0,
593	NR_148960	chr1	+	1059733	1066453	1066453	1066453	4	1059733,1060279,1063078,1065829,	1059846,1060393,1063201,1066453,	0	LOC100288175	unk	unk	-1,-1,-1,-1,
193	NM_001349541	chr5	+	126423408	126494356	126423606	126492956	14	126423408,126465425,126469676,126472237,126473264,126477691,126480455,126480626,126483462,126484398,126485685,126486872,126488798,126492914,	126423689,126465545,126469788,126472304,126473368,126477787,126480527,126480707,126483574,126484524,126485773,126486977,126488892,126494356,	0	GRAMD2B	cmpl	cmpl	0,2,2,0,1,0,0,0,0,1,1,2,2,0,
861	NM_001144984	chr13	-	36222003	36297814	36227200	36283606	6	36222003,36248605,36253802,36254044,36283591,36297636,	36227381,36248682,36253856,36254143,36283702,36297814,	0	CCDC169	cmpl	cmpl	2,0,0,0,0,-1,
598	NM_001077497	chr6_GL000255v2_alt	+	1811793	1818808	1812429	1817580	3	1811793,1816918,1817473,	1812535,1817209,1818808,	0	PRR3	cmpl	cmpl	0,1,1,
611	NM_001206934	chr6_GL000250v2_alt	-	3513569	3516924	3514154	3516824	10	3513569,3514125,3514848,3515169,3515442,3515715,3515877,3516156,3516482,3516772,	3513841,3514234,3514990,3515300,3515625,3515803,3515990,3516352,3516589,3516924,	0	AGER	cmpl	cmpl	-1,1,0,1,1,0,1,0,1,0,
593	NR_038869	chr1	+	1137016	1144054	1144054	1144054	3	1137016,1140824,1142738,	1137110,1141032,1144054,	0	LINC01342	unk	unk	-1,-1,-1,
1063	NM_001085372	chr11	+	62671672	62673686	62671745	62672114	2	62671672,62671952,	62671865,62673686,	0	UQCC3	cmpl	cmpl	0,0,
75	NM_004729	chrX	-	2486434	2500976	2488634	2490719	2	2486434,2500816,	2490769,2500976,	0	ZBED1	cmpl	cmpl	0,-1,
1988	NM_005688	chr3	-	183919935	184017884	183921299	184014392	30	183919935,183925554,183927329,183928746,183937900,183942726,183945849,183947323,183949752,183949971,183951440,183951856,183953085,183959732,183961510,183963384,183965184,183965376,183967694,183971562,183977516,183978502,183981726,183982450,183982773,183987769,183988571,183989225,184014263,184017829,	183921401,183925719,183927443,183928825,183938060,183942916,183945939,183947510,183949881,183950125,183951570,183952003,183953270,183959835,183961654,183963588,183965257,183965501,183967766,183971919,183977624,183978651,183981874,183982624,183983007,183987917,183988727,183989383,184014447,184017884,	0	ABCC5	cmpl	cmpl	0,0,0,2,1,0,0,2,2,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,0,-1,
1310	NM_015036	chr11	+	95089845	95132645	95089927	95129579	2	95089845,95128376,	95090227,95132645,	0	ENDOD1	cmpl	cmpl	0,0,
267	NM_014935	chr1	-	204218852	204359929	204223469	204273727	23	204218852,204223461,204228082,204228727,204228936,204230412,204241374,204241684,204244863,204245614,204247364,204248820,204249183,204250545,204257352,204259257,204261305,204264941,204267474,204268207,204273625,204274728,204359693,	204222779,204223585,204228228,204228861,204229104,204230586,204241481,204241814,204245003,204245726,204247460,204248970,204249264,204250614,204257869,204259740,204261448,204265042,204267547,204268312,204273740,204274809,204359929,	0	PLEKHA6	cmpl	cmpl	-1,1,2,0,0,0,1,0,1,0,0,0,0,0,2,2,0,1,0,0,0,-1,-1,
181	NM_001349744	chr13	+	113491020	113550229	113495581	113549552	12	113491020,113495501,113498341,113499957,113501751,113503495,113510237,113520615,113534044,113539356,113548302,113549424,	113491273,113496025,113498521,113500149,113501880,113503588,113510424,113520733,113534240,113539507,113548452,113550229,	0	TMCO3	cmpl	cmpl	-1,0,0,0,0,0,0,1,2,0,1,1,
173	NM_001350743	chr7	-	105116373	105388930	105117837	105268843	18	105116373,105125781,105126247,105126992,105132790,105133003,105142007,105143083,105145282,105146492,105160506,105167376,105168007,105169156,105203627,105268805,105388647,105388790,	105118022,105125874,105126340,105127062,105132898,105133104,105142490,105143330,105145308,105146658,105160613,105167464,105168095,105169265,105203785,105268869,105388702,105388930,	0	SRPK2	cmpl	cmpl	1,1,1,0,0,1,1,0,1,0,1,0,2,1,2,0,-1,-1,
731	NM_001287387	chr22	-	19175580	19178505	19176129	19177858	9	19175580,19176420,19176577,19176845,19177119,19177726,19177941,19178132,19178386,	19176244,19176494,19176693,19176950,19177204,19177865,19178041,19178240,19178505,	0	SLC25A1	cmpl	cmpl	2,0,1,1,0,0,-1,-1,-1,
1174	NM_013382	chr14	-	77274955	77320883	77277375	77320681	21	77274955,77278393,77278728,77279822,77280020,77280391,77283796,77284949,77285480,77286743,77288761,77291313,77296163,77298688,77299454,77301089,77302834,77304691,77306336,77311948,77320433,	77277481,77278508,77278869,77279928,77280080,77280463,77283873,77285041,77285632,77286822,77288831,77291380,77296273,77298771,77299561,77301249,77302943,77304800,77306441,77312033,77320883,	0	POMT2	cmpl	cmpl	2,1,1,0,0,0,1,2,0,2,1,0,1,2,0,2,1,0,0,2,0,
123	NM_001382470	chr14	-	52639914	52695558	52643569	52695481	16	52639914,52646153,52646374,52652238,52653068,52657916,52658123,52661292,52663800,52666374,52671629,52671794,52678433,52682324,52683787,52695367,	52643630,52646287,52646461,52652308,52653240,52658009,52658150,52661304,52663847,52666495,52671703,52671871,52678472,52682408,52683907,52695558,	0	ERO1A	cmpl	cmpl	2,0,0,2,1,1,1,1,2,1,2,0,0,0,0,0,
980	NR_038215	chr3	+	51817602	51818339	51818339	51818339	3	51817602,51817969,51818208,	51817762,51818071,51818339,	0	IQCF4P	unk	unk	-1,-1,-1,
980	NR_038214	chr3	+	51817602	51819635	51819635	51819635	3	51817602,51817969,51819193,	51817762,51818071,51819635,	0	IQCF4P	unk	unk	-1,-1,-1,
824	NM_001320996	chr1	-	31365252	31373288	31365885	31373014	4	31365252,31367392,31369384,31372941,	31365939,31367494,31369590,31373288,	0	FABP3	cmpl	cmpl	0,0,1,0,
594	NR_106784	chr1	-	1296109	1296170	1296170	1296170	1	1296109,	1296170,	0	MIR6726	unk	unk	-1,
594	NR_145806	chr1	-	1304728	1304812	1304812	1304812	1	1304728,	1304812,	0	SNORD167	unk	unk	-1,
614	NM_001243962	chr6_GL000255v2_alt	-	3853368	3860969	3854141	3860890	5	3853368,3855275,3855902,3859073,3860781,	3854155,3855386,3856184,3859343,3860969,	0	HLA-DQB1	cmpl	cmpl	1,1,1,1,0,
74	NR_144369	chr1	+	1308579	1311677	1311677	1311677	7	1308579,1309085,1309453,1309680,1310633,1310908,1311329,	1308720,1309273,1309603,1309851,1310688,1311071,1311677,	0	PUSL1	unk	unk	-1,-1,-1,-1,-1,-1,-1,
167	NM_001352213	chr12	-	98734790	98894896	98735559	98798993	10	98734790,98751354,98773041,98781116,98782125,98798933,98800996,98807843,98832028,98894629,	98735634,98751522,98773179,98781203,98782137,98799005,98801125,98807915,98832136,98894896,	0	ANKS1B	cmpl	cmpl	0,0,0,0,0,0,-1,-1,-1,-1,
167	NM_001352212	chr12	-	98743973	98895291	98745738	98798993	9	98743973,98751354,98773041,98781116,98782125,98798933,98800996,98832028,98895132,	98745849,98751522,98773179,98781203,98782137,98799005,98801125,98832136,98895291,	0	ANKS1B	cmpl	cmpl	0,0,0,0,0,0,-1,-1,-1,
1675	NM_001032998	chr2	+	142877663	142990065	142885367	142988866	12	142877663,142885348,142918608,142927658,142954809,142956202,142957640,142960623,142985083,142985947,142988844,142989341,	142877736,142885536,142918729,142927741,142954871,142956274,142957715,142960770,142985182,142986021,142988904,142990065,	0	KYNU	cmpl	cmpl	-1,0,1,2,1,0,0,0,0,0,2,-1,
1273	NM_001033088	chr15	+	90265671	90272211	90265712	90271788	3	90265671,90266287,90271187,	90265876,90266398,90272211,	0	NGRN	cmpl	cmpl	0,2,2,
1771	NM_001103176	chr7	-	155501129	155533862	155503067	155509037	4	155501129,155507019,155508893,155533759,	155503105,155507116,155509097,155533862,	0	CNPY1	cmpl	cmpl	1,0,0,-1,
608	NM_001103175	chr16	-	3027681	3035541	3028105	3035496	9	3027681,3028347,3028699,3029279,3029544,3030448,3030695,3030934,3035214,	3028273,3028468,3028830,3029429,3029739,3030595,3030812,3031150,3035541,	0	BICDL2	cmpl	cmpl	0,2,0,0,0,0,0,0,0,
210	NM_001354358	chr2	-	144005752	144244889	144007177	144208781	7	144005752,144141881,144145571,144208602,144211514,144235675,144244784,	144007535,144142055,144145739,144208804,144211579,144235737,144244889,	0	GTDC1	cmpl	cmpl	2,2,2,0,-1,-1,-1,
666	NM_001354357	chr6	-	10671417	10694797	10671455	10684851	6	10671417,10672546,10683186,10684848,10686965,10694702,	10671598,10672636,10683232,10684923,10687164,10694797,	0	C6orf52	cmpl	cmpl	1,1,0,0,-1,-1,
595	NR_106785	chr1	-	1312501	1312566	1312566	1312566	1	1312501,	1312566,	0	MIR6727	unk	unk	-1,
601	NM_001282673	chr1	-	2184476	2194772	2185470	2194749	4	2184476,2193638,2193997,2194687,	2185513,2193910,2194133,2194772,	0	FAAP20	cmpl	cmpl	2,0,2,0,
197	NM_001351230	chr12	-	130396132	130716299	130399134	130479013	22	130396132,130399678,130406171,130407725,130412618,130414124,130422452,130428178,130434733,130436841,130438364,130441847,130445159,130450199,130451194,130456495,130470692,130478911,130506647,130517827,130628321,130716221,	130399161,130399813,130406243,130407829,130412787,130414306,130422561,130428337,130434880,130437291,130438516,130442660,130445269,130450276,130451340,130456700,130470743,130479016,130506770,130517917,130628456,130716299,	0	RIMBP2	cmpl	cmpl	0,0,0,1,0,1,0,0,0,0,1,1,2,0,1,0,0,0,-1,-1,-1,-1,
595	NR_106866	chr1	-	1339649	1339708	1339708	1339708	1	1339649,	1339708,	0	MIR6808	unk	unk	-1,
22	NM_001301044	chr11	-	115169235	115504415	115176473	115504394	11	115169235,115178643,115198405,115209573,115214607,115217891,115229112,115231352,115238499,115240273,115504270,	115176592,115178775,115198438,115209657,115214780,115217991,115229271,115231490,115238652,115240420,115504415,	0	CADM1	cmpl	cmpl	1,1,1,1,2,1,1,1,1,1,0,
622	NM_001320358	chr17	+	4940091	4945222	4940909	4945016	10	4940091,4940872,4941076,4942340,4942576,4942850,4943178,4943425,4944557,4944714,	4940230,4940993,4941157,4942466,4942664,4942941,4943284,4943519,4944638,4945222,	0	RNF167	cmpl	cmpl	-1,0,0,0,0,1,2,0,1,1,
622	NM_001320357	chr17	+	4940267	4945222	4940909	4945016	10	4940267,4940872,4941076,4942340,4942576,4942850,4943178,4943425,4944557,4944714,	4940360,4940993,4941157,4942466,4942664,4942941,4943284,4943519,4944638,4945222,	0	RNF167	cmpl	cmpl	-1,0,0,0,0,1,2,0,1,1,
1262	NM_001323543	chr16	-	88813733	88856947	88814438	88837632	13	88813733,88818006,88822588,88824766,88826701,88831997,88835212,88835724,88836200,88837621,88840991,88841896,88856757,	88814525,88818124,88822710,88824869,88826838,88832101,88835352,88835849,88836267,88837765,88841094,88841971,88856947,	0	GALNS	cmpl	cmpl	0,2,0,2,0,1,2,0,2,0,-1,-1,-1,
749	NM_001320945	chrY	+	21534878	21549326	21542719	21549048	11	21534878,21536887,21537474,21542690,21544853,21545923,21546475,21547020,21548052,21548249,21548749,	21535026,21537000,21537578,21542843,21544968,21546034,21546586,21547131,21548163,21548338,21549326,	0	RBMY1A1	cmpl	cmpl	-1,-1,-1,0,1,2,2,2,2,2,1,
33	NM_001330133	chr2	-	207580630	207626053	207582146	207624375	4	207580630,207621805,207624228,207625676,	207582160,207621917,207624404,207626053,	0	METTL21A	cmpl	cmpl	1,0,0,-1,
83	NR_104444	chr16	+	10877201	10936393	10936393	10936393	18	10877201,10895281,10895668,10898669,10898924,10901513,10902037,10902657,10903730,10904743,10910187,10915569,10916366,10918439,10922166,10922406,10923227,10923877,	10877382,10895428,10895764,10898732,10899002,10901558,10902184,10902801,10903895,10904812,10910259,10915650,10916459,10918526,10922250,10922490,10923325,10936393,	0	CIITA	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
800	NM_006299	chr6	+	28225274	28233486	28227084	28233178	4	28225274,28227011,28227689,28232561,	28225366,28227504,28227837,28233486,	0	ZSCAN9	cmpl	cmpl	-1,0,0,1,
799	NM_006298	chr6	+	28141882	28159460	28148407	28154017	6	28141882,28148315,28149482,28151844,28152260,28153055,	28142029,28148824,28149624,28151936,28152384,28159460,	0	ZKSCAN8	cmpl	cmpl	-1,0,0,1,0,1,
769	NM_001281529	chr14	+	24136193	24138962	24136262	24138816	11	24136193,24136984,24137142,24137320,24137519,24137699,24138048,24138234,24138344,24138473,24138735,	24136301,24137017,24137205,24137431,24137565,24137797,24138117,24138263,24138399,24138560,24138962,	0	PSME1	cmpl	cmpl	0,0,0,0,0,1,0,0,2,0,0,
588	NM_001281529	chr14_KZ208920v1_fix	+	437171	439940	437240	439794	11	437171,437962,438120,438298,438497,438677,439026,439212,439322,439451,439713,	437279,437995,438183,438409,438543,438775,439095,439241,439377,439538,439940,	0	PSME1	cmpl	cmpl	0,0,0,0,0,1,0,0,2,0,0,
585	NR_110142	chr19_GL949749v2_alt	-	15192	38264	38264	38264	10	15192,16145,16282,16535,16643,22681,25776,32672,33063,38110,	15447,16183,16320,16563,16736,22770,25815,32957,33099,38264,	0	VSTM1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
585	NR_110142	chr19_GL949750v2_alt	-	15192	38264	38264	38264	10	15192,16145,16282,16535,16643,22681,25776,32672,33063,38110,	15447,16183,16320,16563,16736,22770,25815,32957,33099,38264,	0	VSTM1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
105	NM_001384427	chr19	+	34172503	34229284	34172642	34227388	9	34172503,34194477,34196633,34208928,34215123,34215595,34219705,34221506,34227364,	34172763,34194641,34196763,34209051,34215300,34215661,34219877,34221738,34229284,	0	LSM14A	cmpl	cmpl	0,1,0,1,1,1,1,2,0,
595	NR_015434	chr1	+	1399529	1402046	1402046	1402046	3	1399529,1400157,1400604,	1399689,1400303,1402046,	0	MRPL20-AS1	unk	unk	-1,-1,-1,
